crm:P2_has_type,dcterms:subject,dcterms:identifier,schema:position,dcterms:type,schema:artMedium,schema:color,schema:depth,schema:itemCondition,schema:material,schema:status,schema:measurementMethod,schema:hasMeasurement,schema:observationDate,dcterms:abstract,crm:P106i_forms_part_of,dcterms:isReferencedBy,dcterms:source,dcterms:creator,dcterms:created,dcterms:modified,dcterms:references,dcterms:accessRights,dcterms:title,schema:artform,crm:P1_is_identified_by,crm:P54_has_current_permanent_location,schema:geo,crm:P4_has_time-span,schema:locationCreated,schema:geographicArea,schema:creator,schema:contributor,crm:P15_was_influenced_by
Couche colorée,,f15e4e4b-70ca-4406-aa3c-560c9e64b118_011§coupe5868,coupe5868c02§quart supérieur dextre,Assiette,sous couche,rouge§argent,10 µm,,ocre,caractérisé,microsonde,,1988,,f15e4e4b-70ca-4406-aa3c-560c9e64b118,"Elisabeth Martin, Rapport 3137a (dossier EROS F11258) 23/11/1988 - , Centre de Recherche et de Restauration des Musées de France, Paris, D11258",427f8776-5e50-44ce-96df-a1b9a555802e,Philomène Renard,13/05/2005,17/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons§Choeur de franciscains,peinture,RF 1988 9,Musée du Louvre Paris,"48.860591,2.337582",1437§1444,,,Sassetta,,Angelico§Angelico
Décor,vitrail de gauche,f15e4e4b-70ca-4406-aa3c-560c9e64b118_012§coupe5868,coupe5868c03§quart supérieur dextre,Feuille métallique,,argenté§argent,,,argent,caractérisé,microsonde,,1988,Riche en chlore,f15e4e4b-70ca-4406-aa3c-560c9e64b118,"Elisabeth Martin, Rapport 3137a (dossier EROS F11258) 23/11/1988 - , Centre de Recherche et de Restauration des Musées de France, Paris, D11258§Elisabeth Ravaud, Rapport 13432 (dossier EROS F 11258) 29/06/2007 - , Centre de Recherche et de Restauration des Musées de France, Paris, F11258",427f8776-5e50-44ce-96df-a1b9a555802e§412ec0ea-6925-4a0c-8176-90743cb32107,Philomène Renard,13/05/2005,17/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons§Choeur de franciscains,peinture,RF 1988 9,Musée du Louvre Paris,"48.860591,2.337582",1437§1444,,,Sassetta,,Angelico§Angelico
Couche colorée,décor§plafond,f15e4e4b-70ca-4406-aa3c-560c9e64b118_013§pointéMFXn°1,pointéMFXn°1c02§moitié supérieure,Couche picturale,,gris,,,blanc de plomb§oxyde de fer§noir de carbone,,MFX,,2007,,f15e4e4b-70ca-4406-aa3c-560c9e64b118,"Elisabeth Ravaud, Rapport 13432 (dossier EROS F 11258) 29/06/2007 - , Centre de Recherche et de Restauration des Musées de France, Paris, F11258",412ec0ea-6925-4a0c-8176-90743cb32107,Philomène Renard,13/05/2005,17/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons§Choeur de franciscains,peinture,RF 1988 9,Musée du Louvre Paris,"48.860591,2.337582",1437§1444,,,Sassetta,,Angelico§Angelico
Couche colorée,décor§poutre,f15e4e4b-70ca-4406-aa3c-560c9e64b118_014§pointéMFXn°2,pointéMFXn°2c02§moitié supérieure,Couche picturale,,brun§marron,,,oxyde de fer§ocre,caractérisé,MFX,,2007,,f15e4e4b-70ca-4406-aa3c-560c9e64b118,"Elisabeth Ravaud, Rapport 13432 (dossier EROS F 11258) 29/06/2007 - , Centre de Recherche et de Restauration des Musées de France, Paris, F11258",412ec0ea-6925-4a0c-8176-90743cb32107,Philomène Renard,13/05/2005,17/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons§Choeur de franciscains,peinture,RF 1988 9,Musée du Louvre Paris,"48.860591,2.337582",1437§1444,,,Sassetta,,Angelico§Angelico
Couche colorée,monstre,f15e4e4b-70ca-4406-aa3c-560c9e64b118_015§pointéMFXn°3 ; pointéMFXn°4,pointéMFXn°3c02§quart supérieur dextre,Couche picturale,,vert,,,malachite§vert de cuivre,caractérisé,MFX,,2007,,f15e4e4b-70ca-4406-aa3c-560c9e64b118,"Elisabeth Ravaud, Rapport 13432 (dossier EROS F 11258) 29/06/2007 - , Centre de Recherche et de Restauration des Musées de France, Paris, F11258",412ec0ea-6925-4a0c-8176-90743cb32107,Philomène Renard,13/05/2005,17/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons§Choeur de franciscains,peinture,RF 1988 9,Musée du Louvre Paris,"48.860591,2.337582",1437§1444,,,Sassetta,,Angelico§Angelico
Couche colorée,monstre,f15e4e4b-70ca-4406-aa3c-560c9e64b118_016§pointéMFXn°3 ; pointéMFXn°4,pointéMFXn°3c03§quart supérieur dextre,Rehaut,,jaune§vert,,,jaune de plomb-étain,caractérisé,MFX,,2007,,f15e4e4b-70ca-4406-aa3c-560c9e64b118,"Elisabeth Ravaud, Rapport 13432 (dossier EROS F 11258) 29/06/2007 - , Centre de Recherche et de Restauration des Musées de France, Paris, F11258",412ec0ea-6925-4a0c-8176-90743cb32107,Philomène Renard,13/05/2005,17/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons§Choeur de franciscains,peinture,RF 1988 9,Musée du Louvre Paris,"48.860591,2.337582",1437§1444,,,Sassetta,,Angelico§Angelico
Couche colorée,vêtement§robe§moine sortant,f15e4e4b-70ca-4406-aa3c-560c9e64b118_017§pointéMFXn°5,pointéMFXn°5c02§tiers dextre,Couche picturale,,brun,,,blanc de plomb§oxyde de fer§ocre§vermillon,caractérisé,MFX,,2007,,f15e4e4b-70ca-4406-aa3c-560c9e64b118,"Elisabeth Ravaud, Rapport 13432 (dossier EROS F 11258) 29/06/2007 - , Centre de Recherche et de Restauration des Musées de France, Paris, F11258",412ec0ea-6925-4a0c-8176-90743cb32107,Philomène Renard,13/05/2005,17/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons§Choeur de franciscains,peinture,RF 1988 9,Musée du Louvre Paris,"48.860591,2.337582",1437§1444,,,Sassetta,,Angelico§Angelico
Couche colorée,vêtement§robe§moine,f15e4e4b-70ca-4406-aa3c-560c9e64b118_018§pointéMFXn°6,pointéMFXn°5c02§moitié inférieure,Couche picturale,,brun§marron,,,blanc de plomb§oxyde de fer§ocre,caractérisé,MFX,,2007,,f15e4e4b-70ca-4406-aa3c-560c9e64b118,"Elisabeth Ravaud, Rapport 13432 (dossier EROS F 11258) 29/06/2007 - , Centre de Recherche et de Restauration des Musées de France, Paris, F11258",412ec0ea-6925-4a0c-8176-90743cb32107,Philomène Renard,13/05/2005,17/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons§Choeur de franciscains,peinture,RF 1988 9,Musée du Louvre Paris,"48.860591,2.337582",1437§1444,,,Sassetta,,Angelico§Angelico
Couche préparatoire,auréole,f15e4e4b-70ca-4406-aa3c-560c9e64b118_019§pointéMFXn°7,pointéMFXn°7c02§tiers dextre,Assiette,,rouge§doré,,,,,,,,Bol argileux,f15e4e4b-70ca-4406-aa3c-560c9e64b118,"Elisabeth Ravaud, Rapport 13432 (dossier EROS F 11258) 29/06/2007 - , Centre de Recherche et de Restauration des Musées de France, Paris, F11258",412ec0ea-6925-4a0c-8176-90743cb32107,Philomène Renard,13/05/2005,17/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons§Choeur de franciscains,peinture,RF 1988 9,Musée du Louvre Paris,"48.860591,2.337582",1437§1444,,,Sassetta,,Angelico§Angelico
Décor,auréole,f15e4e4b-70ca-4406-aa3c-560c9e64b118_020§pointéMFXn°7,pointéMFXn°7c03§tiers dextre,Feuille métallique,,doré,,,or,caractérisé,MFX,,2007,,f15e4e4b-70ca-4406-aa3c-560c9e64b118,"Elisabeth Ravaud, Rapport 13432 (dossier EROS F 11258) 29/06/2007 - , Centre de Recherche et de Restauration des Musées de France, Paris, F11258",412ec0ea-6925-4a0c-8176-90743cb32107,Philomène Renard,13/05/2005,17/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons§Choeur de franciscains,peinture,RF 1988 9,Musée du Louvre Paris,"48.860591,2.337582",1437§1444,,,Sassetta,,Angelico§Angelico
Couche non-peinte,,f15e4e4b-70ca-4406-aa3c-560c9e64b118_021§pointéMFXn°7,pointéMFXn°7c04§tiers dextre,Repeint,superposition peinture,jaune§doré,,,jaune de chrome,caractérisé,MFX,,2007,,f15e4e4b-70ca-4406-aa3c-560c9e64b118,"Elisabeth Ravaud, Rapport 13432 (dossier EROS F 11258) 29/06/2007 - , Centre de Recherche et de Restauration des Musées de France, Paris, F11258",412ec0ea-6925-4a0c-8176-90743cb32107,Philomène Renard,13/05/2005,17/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons§Choeur de franciscains,peinture,RF 1988 9,Musée du Louvre Paris,"48.860591,2.337582",1437§1444,,,Sassetta,,Angelico§Angelico
Couche préparatoire,carnation§Ranieri,f15e4e4b-70ca-4406-aa3c-560c9e64b118_022§pointéMFXn°8,pointéMFXn°8c02§quart inférieur dextre,Assiette,,rouge§incarnat,,,,,,,,,f15e4e4b-70ca-4406-aa3c-560c9e64b118,"Elisabeth Ravaud, Rapport 13432 (dossier EROS F 11258) 29/06/2007 - , Centre de Recherche et de Restauration des Musées de France, Paris, F11258",412ec0ea-6925-4a0c-8176-90743cb32107,Philomène Renard,13/05/2005,17/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons§Choeur de franciscains,peinture,RF 1988 9,Musée du Louvre Paris,"48.860591,2.337582",1437§1444,,,Sassetta,,Angelico§Angelico
Décor,carnation§Ranieri,f15e4e4b-70ca-4406-aa3c-560c9e64b118_023§pointéMFXn°8,pointéMFXn°8c03§quart inférieur dextre,Feuille métallique,,doré§incarnat,,,or,caractérisé,MFX,,2007,,f15e4e4b-70ca-4406-aa3c-560c9e64b118,"Elisabeth Ravaud, Rapport 13432 (dossier EROS F 11258) 29/06/2007 - , Centre de Recherche et de Restauration des Musées de France, Paris, F11258",412ec0ea-6925-4a0c-8176-90743cb32107,Philomène Renard,13/05/2005,17/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons§Choeur de franciscains,peinture,RF 1988 9,Musée du Louvre Paris,"48.860591,2.337582",1437§1444,,,Sassetta,,Angelico§Angelico
Couche colorée,carnation§Ranieri,f15e4e4b-70ca-4406-aa3c-560c9e64b118_024§pointéMFXn°8,pointéMFXn°8c04§quart inférieur dextre,Couche picturale,superposition peinture,vert§incarnat,,,,,,,,,f15e4e4b-70ca-4406-aa3c-560c9e64b118,"Elisabeth Ravaud, Rapport 13432 (dossier EROS F 11258) 29/06/2007 - , Centre de Recherche et de Restauration des Musées de France, Paris, F11258",412ec0ea-6925-4a0c-8176-90743cb32107,Philomène Renard,13/05/2005,17/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons§Choeur de franciscains,peinture,RF 1988 9,Musée du Louvre Paris,"48.860591,2.337582",1437§1444,,,Sassetta,,Angelico§Angelico
